NLoad	Load	Time	
0.000000	1030.062256	14.669000
0.000000	1041.870117	14.692000
0.000000	1024.505615	14.715000
0.000000	1021.727295	14.738000
0.000000	1024.505615	14.761000
0.000000	1039.091797	14.783000
0.000000	1024.505615	14.807000
0.000000	1030.062256	14.830000
0.000000	1023.116455	14.854000
0.000000	1000.889893	14.877000
0.000000	1042.564697	14.901000
0.000000	996.027832	14.924000
0.000000	1018.948975	14.947000
0.000000	1029.367676	14.970000
0.000000	1020.338135	14.992000
0.000000	1014.086914	15.016000
0.000000	1020.338135	15.039000
0.000000	1037.008057	15.063000
0.000000	1025.894775	15.086000
0.000000	1037.008057	15.109000
0.000000	1046.037598	15.132000
0.000000	1028.673096	15.155000
0.000000	1021.727295	15.178000
0.000000	1032.840576	15.200000
0.000000	1020.338135	15.224000
0.000000	1036.313477	15.247000
0.000000	1019.643555	15.271000
0.000000	1022.421875	15.294000
0.000000	1033.535156	15.317000
0.000000	1021.727295	15.340000
0.000000	1024.505615	15.363000
0.000000	1022.421875	15.386000
0.000000	1035.618896	15.408000
0.000000	1027.283936	15.432000
0.000000	1022.421875	15.455000
0.000000	1027.978516	15.479000
0.000000	1027.978516	15.502000
0.000000	1013.392334	15.526000
0.000000	1043.953857	15.549000
0.000000	1025.200195	15.572000
0.000000	1021.032715	15.595000
0.000000	1027.978516	15.617000
0.000000	1021.727295	15.641000
0.000000	1024.505615	15.664000
0.000000	1013.392334	15.688000
0.000000	1005.751953	15.711000
0.000000	1037.702637	15.734000
0.000000	1019.643555	15.757000
0.000000	1028.673096	15.780000
0.000000	1018.254395	15.803000
0.000000	989.082031	15.825000
0.000000	1027.283936	15.849000
0.000000	1021.727295	15.872000
0.000000	1029.367676	15.896000
0.000000	1019.643555	15.919000
0.000000	1016.865234	15.942000
0.000000	1027.283936	15.965000
0.000000	1026.589355	15.988000
0.000000	1026.589355	16.011000
0.000000	1025.894775	16.033000
0.000000	1015.476074	16.057000
0.000000	1032.840576	16.080000
0.000000	1020.338135	16.104000
0.000000	1018.948975	16.127000
0.000000	1027.283936	16.151000
0.000000	1018.948975	16.174000
0.000000	1036.313477	16.197000
0.000000	1036.313477	16.220000
0.000000	1022.421875	16.242000
0.000000	1039.091797	16.266000
0.000000	1023.811035	16.289000
0.000000	1028.673096	16.313000
0.000000	1046.037598	16.336000
0.000000	1023.811035	16.359000
0.000000	1043.953857	16.382000
0.000000	1021.727295	16.405000
0.000000	1021.727295	16.428000
0.000000	1039.786377	16.450000
0.000000	1005.751953	16.474000
0.000000	1040.480957	16.497000
0.000000	1005.751953	16.521000
