Load	Ext	Time
1749.267578	-1.341157	111.207001
1748.657227	-1.340883	111.414001
1726.684570	-1.341522	111.611000
1740.112305	-1.339149	111.809998
1730.346680	-1.339149	112.007004
1723.632812	-1.339423	112.209000
1733.398437	-1.339332	112.412003
1725.463867	-1.339332	112.609001
1726.074219	-1.339697	112.807999
1726.684570	-1.338967	113.004997
1720.581055	-1.339332	113.210999
1715.087891	-1.338967	113.405998
1710.205078	-1.338967	113.609001
1715.698242	-1.339332	113.808998
1722.412109	-1.338510	114.011002
1695.556641	-1.338419	114.210999
1698.608398	-1.337780	114.410004
1707.763672	-1.338784	114.607002
1697.387695	-1.337142	114.811996
1701.049805	-1.337324	115.012001
1700.439453	-1.336868	115.207001
1694.946289	-1.337050	115.407997
1691.894531	-1.336503	115.611000
1686.401367	-1.336594	115.808998
1669.311523	-1.336594	116.009003
1649.169922	-1.336047	116.207001
1658.935547	-1.335408	116.410004
1671.752930	-1.335590	116.609001
1663.818359	-1.335499	116.809998
1669.921875	-1.334496	117.005997
1660.766602	-1.335499	117.207001
1658.325195	-1.334952	117.407997
1660.766602	-1.334769	117.612000
1657.104492	-1.335134	117.810997
1647.338867	-1.334313	118.011002
1643.676758	-1.334496	118.207001
1640.014648	-1.334496	118.408997
1623.535156	-1.333583	118.612999
1637.573242	-1.334222	118.807999
1635.131836	-1.333857	119.005997
1630.859375	-1.333401	119.208000
1625.976562	-1.332944	119.410004
1616.821289	-1.333218	119.612999
1624.145508	-1.332579	119.807999
1622.314453	-1.332123	120.011002
1618.652344	-1.331849	120.207001
1613.159180	-1.332032	120.412003
1597.290039	-1.331667	120.609001
1590.576172	-1.331484	120.811996
1584.472656	-1.331393	121.008003
1575.927734	-1.330572	121.207001
1573.486328	-1.330572	121.410004
1571.044922	-1.331119	121.612999
1558.227539	-1.330298	121.806000
1511.230469	-1.330481	122.008003
1512.451172	-1.329933	122.209999
1502.075195	-1.329842	122.407997
1514.282227	-1.330024	122.612999
1516.113281	-1.329294	122.807999
1516.113281	-1.329203	123.011002
1517.333984	-1.330116	123.211998
1510.009766	-1.329203	123.412003
1505.737305	-1.328200	123.612000
1502.685547	-1.328656	123.809998
1502.685547	-1.327652	124.008003
1508.789062	-1.328382	124.209999
1481.323242	-1.328017	124.408997
1472.778320	-1.327652	124.609001
1468.505859	-1.327561	124.815002
1470.336914	-1.327378	125.008003
1463.012695	-1.327104	125.209000
1455.688477	-1.327378	125.412003
1463.012695	-1.328656	125.613998
1462.402344	-1.326557	125.809998
1464.233398	-1.325097	126.005997
1446.533203	-1.325827	126.207001
1445.312500	-1.326101	126.407997
1438.598633	-1.325918	126.610001
1387.329102	-1.325644	126.808998
1382.446289	-1.325462	127.012001
1387.329102	-1.325188	127.208000
1392.211914	-1.325188	127.406998
1385.498047	-1.326375	127.610001
1383.666992	-1.324732	127.808998
1386.108398	-1.324458	128.011002
1376.953125	-1.324185	128.210007
1353.149414	-1.323637	128.408005
1350.097656	-1.325462	128.613998
1349.487305	-1.324367	128.809998
1350.097656	-1.324002	129.011993
1350.097656	-1.323637	129.210007
1335.449219	-1.322542	129.410995
1339.111328	-1.322451	129.610992
1340.332031	-1.322816	129.807999
1286.010742	-1.323181	130.011002
1281.738281	-1.322268	130.207993
1291.503906	-1.322086	130.408997
1280.517578	-1.321538	130.612000
1279.296875	-1.321447	130.807007
1274.414062	-1.322268	131.007996
1262.207031	-1.321721	131.212006
1264.648437	-1.321903	131.408997
1253.051758	-1.322816	131.612000
1245.117187	-1.320352	131.809006
1216.430664	-1.320352	132.009995
1211.547852	-1.319896	132.210007
1211.547852	-1.319257	132.410004
1210.327148	-1.320443	132.613998
1206.054687	-1.319257	132.811996
1188.354492	-1.320352	133.013000
1174.316406	-1.317341	133.209000
1177.368164	-1.318983	133.408997
1171.875000	-1.319348	133.610001
1171.264648	-1.318436	133.809006
1173.706055	-1.318162	134.009003
1160.888672	-1.319713	134.209000
1158.447266	-1.317706	134.410995
1150.512695	-1.318618	134.612000
1149.902344	-1.316611	134.815994
1141.357422	-1.316611	135.011002
1146.850586	-1.316429	135.210007
1127.319336	-1.316520	135.414001
1113.281250	-1.316794	135.613998
1123.657227	-1.316702	135.813995
1118.774414	-1.315790	136.011002
1105.957031	-1.315607	136.212997
1093.139648	-1.315334	136.414001
1085.815430	-1.315699	136.615005
1090.087891	-1.315334	136.809006
1090.087891	-1.315334	137.009003
1086.425781	-1.314421	137.212006
1076.660156	-1.315151	137.408997
1083.984375	-1.315516	137.610992
1081.542969	-1.314695	137.811996
1081.542969	-1.313965	138.009003
1060.180664	-1.314330	138.212997
1055.297852	-1.314604	138.414993
1051.025391	-1.313965	138.613998
1045.532227	-1.312961	138.811996
1046.142578	-1.312961	139.013000
1042.480469	-1.312961	139.210999
1037.597656	-1.313600	139.410995
1029.052734	-1.313326	139.613998
1021.118164	-1.312049	139.811005
1016.845703	-1.312049	140.011002
